Rating,Content,Count,,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count
1,등록,92,,,1,등록,92,,2,하면,18,,3,되는게,3,,4,사용,16,,5,으로,10
1,카드,74,,,1,카드,74,,2,건지,15,,3,불가,3,,4,법인,12,,5,좋아요,10
1,충전,43,,,1,충전,43,,2,바랍니다,7,,3,80%,2,,4,충북대,6,,5,너무,9
1,업데이트,40,,,1,업데이트,40,,2,시간,7,,3,불편합니다,2,,4,지도,5,,5,빠르고,7
1,에서,25,,,1,에서,25,,2,합니다,6,,3,불편,2,,4,모든,4,,5,좋습니다,3
1,차량,22,,,1,차량,22,,2,기능,6,,3,보완,2,,4,대학원,4,,5,90%,2
1,설치,22,,,1,설치,22,,2,로그인,6,,3,있음,2,,4,건축,4,,5,직관,2
1,화면,21,,,1,화면,21,,2,인데,5,,3,렌트카,2,,4,설계,4,,5,반응,2
1,결제,20,,,1,결제,20,,2,안되요,5,,3,가족,2,,4,176,4,,5,일치,2
1,계속,18,,,1,계속,18,,2,됩니다,4,,3,이상은,1,,4,몸무게,4,,5,현대차,2
1,가입,18,,,1,가입,18,,2,없음,4,,3,되어야,1,,4,70,4,,5,불편함,2
2,하면,18,,,1,...,17,,2,업뎃,4,,3,장거리,1,,4,조편성,4,,5,아닌,2
1,...,17,,,1,하고,16,,2,증설,4,,3,없을듯,1,,4,가능하게,3,,5,부탁드립니다,2
1,하고,16,,,1,..,16,,2,자꾸,4,,3,할게,1,,4,설정,3,,5,부분,2
1,..,16,,,1,안됨,16,,2,하나요,4,,3,많아,1,,4,되어,3,,5,아닙니다,2
1,안됨,16,,,1,어플,15,,2,진행,3,,3,보이,1,,4,키로,3,,5,현상,2
4,사용,16,,,1,라고,14,,2,하여,3,,3,지만,1,,4,무조건,3,,5,만들어주세요,2
1,어플,15,,,1,해서,14,,2,안되서,3,,3,나름,1,,4,아픈데,3,,5,EV,1
2,건지,15,,,1,입력,13,,2,버림,3,,3,쓸모,1,,4,없다고해,3,,5,화물차,1
1,라고,14,,,1,오류,13,,2,없어요,3,,3,안되는요,1,,4,병원,3,,5,조정,1
1,해서,14,,,1,하는,11,,2,하며,2,,3,자가,1,,4,간건,3,,5,해주셨으면,1
1,입력,13,,,1,번호,11,,2,되도록,2,,3,글자,1,,4,하지마,3,,5,감사합니다,1
1,오류,13,,,1,안됩니다,10,,2,조치,2,,3,있을까요,1,,4,라운드,3,,5,UI,1
4,법인,12,,,1,뜨고,10,,2,경로,2,,3,과거,1,,4,포인트,3,,5,편리하고,1
1,하는,11,,,1,안되고,10,,2,추천,2,,3,조속,1,,4,타입,2,,5,적이네요,1
1,번호,11,,,1,....,9,,2,데이터,2,,3,가능,1,,4,속도,2,,5,따뜻합니다,1
1,안됩니다,10,,,1,다시,9,,2,회사,2,,3,토록,1,,4,매번,2,,5,원합니다,1
1,뜨고,10,,,1,진짜,9,,2,렌트,2,,3,장기,1,,4,마다,2,,5,ci,1
1,안되고,10,,,1,해도,9,,2,수가,2,,3,관계,1,,4,초기,2,,5,소프트웨어,1
5,으로,10,,,1,회원,9,,2,에는,2,,3,fe,1,,4,필요,2,,5,멀었구나,1
5,좋아요,10,,,1,먹통,8,,2,그대로,2,,,,,,4,없어,2,,5,편리하네요,1
1,....,9,,,1,인증,8,,2,로그아웃,2,,,,,,4,편하고,2,,5,사업자,1
1,다시,9,,,1,니까,7,,2,전혀,2,,,,,,4,^^,2,,5,호환,1
1,진짜,9,,,1,정보,7,,2,않네요,2,,,,,,4,내일,2,,5,전용,1
1,해도,9,,,1,입니다,7,,2,방법,2,,,,,,4,받아,2,,5,깔아야,1
1,회원,9,,,1,확인,7,,2,아이오,2,,,,,,4,예약,2,,5,한다는,1
5,너무,9,,,1,이핏,7,,2,할하,1,,,,,,4,확정,2,,5,빼고는,1
1,먹통,8,,,1,하라,7,,2,않아요,1,,,,,,4,조아요,2,,5,좋았습니다,1
1,인증,8,,,1,결재,6,,2,걸리고,1,,,,,,4,요청,1,,5,NH,1
1,니까,7,,,1,실행,6,,2,메세지,1,,,,,,4,드립니다,1,,5,농협카드,1
1,정보,7,,,1,해야,6,,2,나타나서,1,,,,,,4,번거롭네요,1,,5,BC,1
1,입니다,7,,,1,했는데,6,,2,되었다고,1,,,,,,4,특히,1,,5,일반,1
1,확인,7,,,1,본인,6,,2,라가,1,,,,,,4,보여줄,1,,5,가드,1
1,이핏,7,,,1,빠른,6,,2,되면서,1,,,,,,4,보이네요,1,,5,만족합니다,1
1,하라,7,,,1,안되네요,6,,2,않음,1,,,,,,4,사소한,1,,5,유용한,1
2,바랍니다,7,,,1,체크카드,5,,2,원할한,1,,,,,,4,사항,1,,5,이전,1
2,시간,7,,,1,삭제,5,,2,신속한,1,,,,,,4,있지만,1,,5,갑자기,1
5,빠르고,7,,,1,하는데,5,,2,pit,1,,,,,,4,쓰기,1,,5,리지,1
1,결재,6,,,1,개발자,5,,2,출발,1,,,,,,4,ㅡㄴㅗㅡ,1,,5,않으면서,1
1,실행,6,,,1,전국,5,,2,목적지,1,,,,,,4,",,",1,,5,나옵니다,1
1,해야,6,,,1,검색,5,,2,수집,1,,,,,,4,ㅅㅇ,1,,5,이에요,1
1,했는데,6,,,1,충전기,5,,2,분석,1,,,,,,4,666602,1,,5,함안,1
1,본인,6,,,1,해주세요,5,,2,포함,1,,,,,,4,하게요,1,,5,없이,1
1,빠른,6,,,1,라는,5,,2,최적,1,,,,,,4,5월,1,,5,15분,1
1,안되네요,6,,,1,갤럭시,5,,2,다운,1,,,,,,4,골드,1,,5,있어,1
2,합니다,6,,,1,되네요,5,,2,로는,1,,,,,,4,나인,1,,5,편리했습니다,1
2,기능,6,,,1,사람,5,,2,예전,1,,,,,,4,정기,1,,5,찾을,1
2,로그인,6,,,1,리뷰,5,,2,멀쩡하게,1,,,,,,4,운딩,1,,5,쓸듯,1
4,충북대,6,,,1,개인,5,,2,부족해,1,,,,,,4,끝나고,1,,5,깔끔하고,1
1,체크카드,5,,,1,정상,5,,2,한다고,1,,,,,,4,그래서,1,,5,좋네욯,1
1,삭제,5,,,1,추가,4,,2,띄어놓고,1,,,,,,4,견적,1,,5,소가,1
1,하는데,5,,,1,이상,4,,2,없나요,1,,,,,,4,보도록,1,,5,충천,1
1,개발자,5,,,1,아직도,4,,2,동시,1,,,,,,4,하겠습니다,1,,5,보려구,1
1,전국,5,,,1,ㅡㅡ,4,,2,한쪽,1,,,,,,4,칭찬,1,,5,깔아,1
1,검색,5,,,1,버튼,4,,2,전라도,1,,,,,,4,배려,1,,5,봤는데,1
1,충전기,5,,,1,로딩,4,,2,방향,1,,,,,,4,함께,1,,5,편했어요,1
1,해주세요,5,,,1,고속,4,,2,ui,1,,,,,,4,ST,1,,5,여기저기,1
1,라는,5,,,1,사용자,4,,2,구성은,1,,,,,,4,세종,1,,5,유용하게,1
1,갤럭시,5,,,1,되고,4,,2,이고,1,,,,,,4,토탈,1,,5,쓸거,1
1,되네요,5,,,1,에러,4,,2,편한데,1,,,,,,4,골프클럽,1,,5,있어서,1
1,사람,5,,,1,하기,4,,2,안정,1,,,,,,4,되었습니다,1,,5,든든합니다,1
1,리뷰,5,,,1,클릭,4,,2,불안한거,1,,,,,,4,골프장,1,,5,많은,1
1,개인,5,,,1,ㅠㅠ,4,,2,같습니다,1,,,,,,4,클럽,1,,5,좋았어요,1
1,정상,5,,,1,오늘,4,,2,멈추네요,1,,,,,,4,금강,1,,5,쓰고있습니다,1
4,지도,5,,,1,이후,4,,2,메모장,1,,,,,,4,김철순,1,,5,사랑,1
2,인데,5,,,1,관리,4,,2,적어,1,,,,,,4,에스티,1,,5,전기자동차,1
2,안되요,5,,,1,휴게소,4,,2,넣고,1,,,,,,4,투어,1,,5,훌륭하네요,1
1,추가,4,,,1,교통카드,4,,2,복사,1,,,,,,4,일시,1,,5,쓰고,1
1,이상,4,,,1,수십,4,,2,붙여넣기,1,,,,,,4,May-22,1,,5,보기,1
1,아직도,4,,,1,나오고,4,,2,넘어가지를,1,,,,,,4,8,1,,5,편하네요,1
1,ㅡㅡ,4,,,1,이네,4,,2,XX,1,,,,,,4,08시,1,,5,위젯,1
1,버튼,4,,,1,??,4,,2,XXXX,1,,,,,,4,07분,1,,5,보여주세요,1
1,로딩,4,,,1,이미,3,,2,모자,1,,,,,,4,장상,1,,5,혁신,1
1,고속,4,,,1,팝업,3,,2,써지네요,1,,,,,,4,해피,1,,5,이라,1
1,사용자,4,,,1,뜹니다,3,,2,똑같네요,1,,,,,,4,바이러스,1,,5,plug,1
1,되고,4,,,1,신용카드,3,,2,어쩌,1,,,,,,4,취소,1,,5,and,1
1,에러,4,,,1,포기,3,,2,뽑아서,1,,,,,,4,위약금,1,,5,charge,1
1,하기,4,,,1,같아요,3,,2,제출,1,,,,,,4,7일,1,,5,국내,1
1,클릭,4,,,1,기존,3,,2,가능한,1,,,,,,4,5일,1,,5,도입,1
1,ㅠㅠ,4,,,1,어떻게,3,,2,알려주세요,1,,,,,,4,"50,000",1,,5,누릴수,1
1,오늘,4,,,1,밖에,3,,2,계약,1,,,,,,4,1일,1,,5,있다니,1
1,이후,4,,,1,한눈,3,,2,렌터카,1,,,,,,4,"100,000",1,,5,세계,1
1,관리,4,,,1,메뉴,3,,2,전등,1,,,,,,4,당일,1,,5,기술,1
1,휴게소,4,,,1,다른,3,,2,관련,1,,,,,,4,"200,000",1,,5,놀랍네요,1
1,교통카드,4,,,1,같은,3,,2,에선,1,,,,,,4,편해요,1,,5,필요한,1
1,수십,4,,,1,무슨,3,,2,차대,1,,,,,,4,불안정하지만,1,,5,많이,1
1,나오고,4,,,1,통화,3,,2,하던지,1,,,,,,4,등등,1,,5,있네요,1
1,이네,4,,,1,이제,3,,2,필묘함,1,,,,,,4,앉아서,1,,5,Good,1
1,??,4,,,1,누르면,3,,2,페이,1,,,,,,4,쉴수있는,1,,5,good,1
4,모든,4,,,1,지우고,3,,2,찍으면,1,,,,,,4,의자,1,,5,좋네요,1
2,됩니다,4,,,1,반복,3,,2,인식,1,,,,,,4,조아,1,,,,
2,없음,4,,,1,않되,3,,2,.......,1,,,,,,,,,,,,
2,업뎃,4,,,1,않고,3,,2,승차,1,,,,,,,,,,,,
2,증설,4,,,1,가요,3,,2,찍히는데,1,,,,,,,,,,,,
2,자꾸,4,,,1,아니,3,,2,하차,1,,,,,,,,,,,,
2,하나요,4,,,1,부터,3,,2,안되어요,1,,,,,,,,,,,,
4,대학원,4,,,1,작동,3,,2,바라요,1,,,,,,,,,,,,
4,건축,4,,,1,개선,3,,2,환경부,1,,,,,,,,,,,,
4,설계,4,,,1,메시지,3,,2,에디슨,1,,,,,,,,,,,,
4,176,4,,,1,하얗게,3,,2,등럭후,1,,,,,,,,,,,,
4,몸무게,4,,,1,아무,3,,,,,,,,,,,,,,,,
4,70,4,,,1,기아,3,,,,,,,,,,,,,,,,
4,조편성,4,,,1,발생,3,,,,,,,,,,,,,,,,
1,이미,3,,,1,개발,3,,,,,,,,,,,,,,,,
1,팝업,3,,,1,이용,3,,,,,,,,,,,,,,,,
1,뜹니다,3,,,1,고객,3,,,,,,,,,,,,,,,,
1,신용카드,3,,,1,있게,3,,,,,,,,,,,,,,,,
1,포기,3,,,1,까지,3,,,,,,,,,,,,,,,,
1,같아요,3,,,1,명의,3,,,,,,,,,,,,,,,,
1,기존,3,,,1,ev,3,,,,,,,,,,,,,,,,
1,어떻게,3,,,1,나옴,3,,,,,,,,,,,,,,,,
1,밖에,3,,,1,보니,3,,,,,,,,,,,,,,,,
1,한눈,3,,,1,무기명,3,,,,,,,,,,,,,,,,
1,메뉴,3,,,1,하다가,2,,,,,,,,,,,,,,,,
1,다른,3,,,1,했습니다,2,,,,,,,,,,,,,,,,
1,같은,3,,,1,해줘야,2,,,,,,,,,,,,,,,,
1,무슨,3,,,1,아니면,2,,,,,,,,,,,,,,,,
1,통화,3,,,1,뜨는데,2,,,,,,,,,,,,,,,,
1,이제,3,,,1,하려고,2,,,,,,,,,,,,,,,,
1,누르면,3,,,1,완료,2,,,,,,,,,,,,,,,,
1,지우고,3,,,1,할려고,2,,,,,,,,,,,,,,,,
1,반복,3,,,1,4일,2,,,,,,,,,,,,,,,,
1,않되,3,,,1,볼수있는,2,,,,,,,,,,,,,,,,
1,않고,3,,,1,이나,2,,,,,,,,,,,,,,,,
1,가요,3,,,1,머리,2,,,,,,,,,,,,,,,,
1,아니,3,,,1,현재,2,,,,,,,,,,,,,,,,
1,부터,3,,,1,즐겨찾기,2,,,,,,,,,,,,,,,,
1,작동,3,,,1,쓰레기,2,,,,,,,,,,,,,,,,
1,개선,3,,,1,포터,2,,,,,,,,,,,,,,,,
1,메시지,3,,,1,할수가,2,,,,,,,,,,,,,,,,
1,하얗게,3,,,1,없네요,2,,,,,,,,,,,,,,,,
1,아무,3,,,1,문구,2,,,,,,,,,,,,,,,,
4,가능하게,3,,,1,정말,2,,,,,,,,,,,,,,,,
4,설정,3,,,1,거지같네,2,,,,,,,,,,,,,,,,
4,되어,3,,,1,폴드,2,,,,,,,,,,,,,,,,
1,기아,3,,,1,프리징,2,,,,,,,,,,,,,,,,
1,발생,3,,,1,종료,2,,,,,,,,,,,,,,,,
1,개발,3,,,1,안정화,2,,,,,,,,,,,,,,,,
1,이용,3,,,1,처음,2,,,,,,,,,,,,,,,,
1,고객,3,,,1,떠서,2,,,,,,,,,,,,,,,,
1,있게,3,,,1,했더니,2,,,,,,,,,,,,,,,,
1,까지,3,,,1,있다고,2,,,,,,,,,,,,,,,,
1,명의,3,,,1,없고,2,,,,,,,,,,,,,,,,
1,ev,3,,,1,나오는데,2,,,,,,,,,,,,,,,,
1,나옴,3,,,1,광고,2,,,,,,,,,,,,,,,,
1,보니,3,,,1,수정,2,,,,,,,,,,,,,,,,
1,무기명,3,,,1,한글,2,,,,,,,,,,,,,,,,
2,진행,3,,,1,한번,2,,,,,,,,,,,,,,,,
2,하여,3,,,1,시도,2,,,,,,,,,,,,,,,,
2,안되서,3,,,1,안되어서,2,,,,,,,,,,,,,,,,
2,버림,3,,,1,했네요,2,,,,,,,,,,,,,,,,
2,없어요,3,,,1,참다,2,,,,,,,,,,,,,,,,
5,좋습니다,3,,,1,씁니다,2,,,,,,,,,,,,,,,,
3,되는게,3,,,1,피트,2,,,,,,,,,,,,,,,,
3,불가,3,,,1,비회,2,,,,,,,,,,,,,,,,
4,키로,3,,,1,하게,2,,,,,,,,,,,,,,,,
4,무조건,3,,,1,있는데,2,,,,,,,,,,,,,,,,
4,아픈데,3,,,1,안됩니까,2,,,,,,,,,,,,,,,,
4,없다고해,3,,,1,주민,2,,,,,,,,,,,,,,,,
4,병원,3,,,1,10,2,,,,,,,,,,,,,,,,
4,간건,3,,,1,했는데도,2,,,,,,,,,,,,,,,,
4,하지마,3,,,1,되는데,2,,,,,,,,,,,,,,,,
4,라운드,3,,,1,멤버,2,,,,,,,,,,,,,,,,
4,포인트,3,,,1,로그온,2,,,,,,,,,,,,,,,,
4,타입,2,,,1,휴대폰,2,,,,,,,,,,,,,,,,
4,속도,2,,,1,하면서,2,,,,,,,,,,,,,,,,
4,매번,2,,,1,이런,2,,,,,,,,,,,,,,,,
4,마다,2,,,1,자체,2,,,,,,,,,,,,,,,,
4,초기,2,,,1,현대,2,,,,,,,,,,,,,,,,
4,필요,2,,,1,조금,2,,,,,,,,,,,,,,,,
4,없어,2,,,1,AID,2,,,,,,,,,,,,,,,,
1,하다가,2,,,1,들어가면,2,,,,,,,,,,,,,,,,
1,했습니다,2,,,1,처리,2,,,,,,,,,,,,,,,,
1,해줘야,2,,,1,누가,2,,,,,,,,,,,,,,,,
1,아니면,2,,,1,짜증나네,2,,,,,,,,,,,,,,,,
1,뜨는데,2,,,1,있어요,2,,,,,,,,,,,,,,,,
1,하려고,2,,,1,아까,2,,,,,,,,,,,,,,,,
1,완료,2,,,1,보면,2,,,,,,,,,,,,,,,,
1,할려고,2,,,1,하니,2,,,,,,,,,,,,,,,,
1,4일,2,,,1,센터,2,,,,,,,,,,,,,,,,
1,볼수있는,2,,,1,전화,2,,,,,,,,,,,,,,,,
1,이나,2,,,1,하얀,2,,,,,,,,,,,,,,,,
1,머리,2,,,1,나와요,2,,,,,,,,,,,,,,,,
1,현재,2,,,1,다해,2,,,,,,,,,,,,,,,,
1,즐겨찾기,2,,,1,카카오,2,,,,,,,,,,,,,,,,
1,쓰레기,2,,,1,뱅크,2,,,,,,,,,,,,,,,,
1,포터,2,,,1,자동차,2,,,,,,,,,,,,,,,,
1,할수가,2,,,1,모두,2,,,,,,,,,,,,,,,,
1,없네요,2,,,1,건가,2,,,,,,,,,,,,,,,,
1,문구,2,,,1,문제,2,,,,,,,,,,,,,,,,
1,정말,2,,,1,할수,2,,,,,,,,,,,,,,,,
1,거지같네,2,,,1,아닌가요,2,,,,,,,,,,,,,,,,
1,폴드,2,,,1,아님,2,,,,,,,,,,,,,,,,
1,프리징,2,,,1,이렇게,2,,,,,,,,,,,,,,,,
1,종료,2,,,1,생각,2,,,,,,,,,,,,,,,,
1,안정화,2,,,1,이라고,2,,,,,,,,,,,,,,,,
1,처음,2,,,1,삼성,2,,,,,,,,,,,,,,,,
1,떠서,2,,,1,대기업,2,,,,,,,,,,,,,,,,
1,했더니,2,,,1,전기차,2,,,,,,,,,,,,,,,,
1,있다고,2,,,1,NFC,2,,,,,,,,,,,,,,,,
1,없고,2,,,1,지하철,2,,,,,,,,,,,,,,,,
1,나오는데,2,,,1,20,2,,,,,,,,,,,,,,,,
1,광고,2,,,1,테스트,2,,,,,,,,,,,,,,,,
1,수정,2,,,1,있습니다,2,,,,,,,,,,,,,,,,
1,한글,2,,,1,눌러도,2,,,,,,,,,,,,,,,,
1,한번,2,,,1,회원정보,2,,,,,,,,,,,,,,,,
1,시도,2,,,1,알림,2,,,,,,,,,,,,,,,,
1,안되어서,2,,,1,안되니,2,,,,,,,,,,,,,,,,
1,했네요,2,,,1,멤버십,2,,,,,,,,,,,,,,,,
1,참다,2,,,1,nfc,2,,,,,,,,,,,,,,,,
1,씁니다,2,,,1,빨리,2,,,,,,,,,,,,,,,,
2,하며,2,,,1,하자,2,,,,,,,,,,,,,,,,
2,되도록,2,,,1,아직,2,,,,,,,,,,,,,,,,
2,조치,2,,,1,없다고,1,,,,,,,,,,,,,,,,
2,경로,2,,,1,없어서,1,,,,,,,,,,,,,,,,
2,추천,2,,,1,이라도,1,,,,,,,,,,,,,,,,
2,데이터,2,,,1,가먄,1,,,,,,,,,,,,,,,,
2,회사,2,,,1,좋겠는데,1,,,,,,,,,,,,,,,,
2,렌트,2,,,1,커녕,1,,,,,,,,,,,,,,,,
2,수가,2,,,1,엄청,1,,,,,,,,,,,,,,,,
2,에는,2,,,1,켰습니다,1,,,,,,,,,,,,,,,,
2,그대로,2,,,1,가게,1,,,,,,,,,,,,,,,,
2,로그아웃,2,,,1,할거아니에요,1,,,,,,,,,,,,,,,,
2,전혀,2,,,1,있으면,1,,,,,,,,,,,,,,,,
1,피트,2,,,1,건너,1,,,,,,,,,,,,,,,,
1,비회,2,,,1,뛰게,1,,,,,,,,,,,,,,,,
1,하게,2,,,1,만들어주셔야죠,1,,,,,,,,,,,,,,,,
1,있는데,2,,,1,업테,1,,,,,,,,,,,,,,,,
1,안됩니까,2,,,1,활성화,1,,,,,,,,,,,,,,,,
1,주민,2,,,1,되있지도,1,,,,,,,,,,,,,,,,
1,10,2,,,1,않구요,1,,,,,,,,,,,,,,,,
1,했는데도,2,,,1,단계,1,,,,,,,,,,,,,,,,
1,되는데,2,,,1,한나절,1,,,,,,,,,,,,,,,,
1,멤버,2,,,1,예요,1,,,,,,,,,,,,,,,,
1,로그온,2,,,1,지웠다가,1,,,,,,,,,,,,,,,,
1,휴대폰,2,,,1,깔아도,1,,,,,,,,,,,,,,,,
1,하면서,2,,,1,소용없고,1,,,,,,,,,,,,,,,,
1,이런,2,,,1,이러나요,1,,,,,,,,,,,,,,,,
1,자체,2,,,1,나왔는데,1,,,,,,,,,,,,,,,,
1,현대,2,,,1,동안,1,,,,,,,,,,,,,,,,
1,조금,2,,,1,답답해서,1,,,,,,,,,,,,,,,,
1,AID,2,,,1,남깁니다,1,,,,,,,,,,,,,,,,
1,들어가면,2,,,1,떵만,1,,,,,,,,,,,,,,,,
1,처리,2,,,1,12,1,,,,,,,,,,,,,,,,
1,누가,2,,,1,없는,1,,,,,,,,,,,,,,,,
5,90%,2,,,1,epit,1,,,,,,,,,,,,,,,,
1,짜증나네,2,,,1,없습니까,1,,,,,,,,,,,,,,,,
1,있어요,2,,,1,장식,1,,,,,,,,,,,,,,,,
1,아까,2,,,1,고속도로,1,,,,,,,,,,,,,,,,
1,보면,2,,,1,핏휴,1,,,,,,,,,,,,,,,,
1,하니,2,,,1,찾을려면,1,,,,,,,,,,,,,,,,
1,센터,2,,,1,찾아야,1,,,,,,,,,,,,,,,,
1,전화,2,,,1,최소한,1,,,,,,,,,,,,,,,,
1,하얀,2,,,1,있던가,1,,,,,,,,,,,,,,,,
1,나와요,2,,,1,되던가,1,,,,,,,,,,,,,,,,
1,다해,2,,,1,안되,1,,,,,,,,,,,,,,,,
1,카카오,2,,,1,이따,1,,,,,,,,,,,,,,,,
1,뱅크,2,,,1,구로,1,,,,,,,,,,,,,,,,
1,자동차,2,,,1,만들어놓고,1,,,,,,,,,,,,,,,,
1,모두,2,,,1,pnc,1,,,,,,,,,,,,,,,,
1,건가,2,,,1,있어야만,1,,,,,,,,,,,,,,,,
1,문제,2,,,1,어이없다,1,,,,,,,,,,,,,,,,
1,할수,2,,,1,지원,1,,,,,,,,,,,,,,,,
1,아닌가요,2,,,1,연결하게,1,,,,,,,,,,,,,,,,
1,아님,2,,,1,봉고,1,,,,,,,,,,,,,,,,
1,이렇게,2,,,1,안되는,1,,,,,,,,,,,,,,,,
1,생각,2,,,1,차지,1,,,,,,,,,,,,,,,,
1,이라고,2,,,1,하고있어서,1,,,,,,,,,,,,,,,,
1,삼성,2,,,1,쓸수가,1,,,,,,,,,,,,,,,,
1,대기업,2,,,1,없습니다,1,,,,,,,,,,,,,,,,
1,전기차,2,,,1,효율,1,,,,,,,,,,,,,,,,
1,NFC,2,,,1,인가요,1,,,,,,,,,,,,,,,,
1,지하철,2,,,1,금번,1,,,,,,,,,,,,,,,,
1,20,2,,,1,미등록,1,,,,,,,,,,,,,,,,
1,테스트,2,,,1,나오며,1,,,,,,,,,,,,,,,,
1,있습니다,2,,,1,상담,1,,,,,,,,,,,,,,,,
2,않네요,2,,,1,했지만,1,,,,,,,,,,,,,,,,
2,방법,2,,,1,불안정하다는,1,,,,,,,,,,,,,,,,
2,아이오,2,,,1,되풀이,1,,,,,,,,,,,,,,,,
1,눌러도,2,,,1,04월 16일,1,,,,,,,,,,,,,,,,
1,회원정보,2,,,1,나와서,1,,,,,,,,,,,,,,,,
1,알림,2,,,1,하려,1,,,,,,,,,,,,,,,,
1,안되니,2,,,1,입니다만,1,,,,,,,,,,,,,,,,
1,멤버십,2,,,1,중간,1,,,,,,,,,,,,,,,,
1,nfc,2,,,1,튕깁니,1,,,,,,,,,,,,,,,,
1,빨리,2,,,1,강제,1,,,,,,,,,,,,,,,,
1,하자,2,,,1,해야만,1,,,,,,,,,,,,,,,,
1,아직,2,,,1,패치,1,,,,,,,,,,,,,,,,
5,직관,2,,,1,만든,1,,,,,,,,,,,,,,,,
5,반응,2,,,1,징계,1,,,,,,,,,,,,,,,,
3,80%,2,,,1,할듯,1,,,,,,,,,,,,,,,,
3,불편합니다,2,,,1,돌아,1,,,,,,,,,,,,,,,,
3,불편,2,,,1,버리겠네요,1,,,,,,,,,,,,,,,,
3,보완,2,,,1,새로,1,,,,,,,,,,,,,,,,
3,있음,2,,,1,플레이스토어,1,,,,,,,,,,,,,,,,
3,렌트카,2,,,1,이동,1,,,,,,,,,,,,,,,,
5,일치,2,,,1,열기,1,,,,,,,,,,,,,,,,
5,현대차,2,,,1,고하,1,,,,,,,,,,,,,,,,
4,편하고,2,,,1,.(,1,,,,,,,,,,,,,,,,
4,^^,2,,,1,985,1,,,,,,,,,,,,,,,,
3,가족,2,,,1,시스템,1,,,,,,,,,,,,,,,,
4,내일,2,,,1,시키시고,1,,,,,,,,,,,,,,,,
